hrt_value,t_value
71338.0,1101.139141
71251.0,1101.179271
71180.0,1101.219404
71155.0,1101.259531
71176.0,1101.29967
71215.0,1101.3398
71257.0,1101.38029
71297.0,1101.420413
71323.0,1101.460551
71335.0,1101.500514
71333.0,1101.540661
71335.0,1101.580789
71358.0,1101.620928
71397.0,1101.661068
71433.0,1101.701213
71463.0,1101.741344
71505.0,1101.781475
71533.0,1101.821615
71554.0,1101.861777
71580.0,1101.901913
71607.0,1101.942049
71637.0,1101.982557
71661.0,1102.022699
71672.0,1102.062855
71593.0,1102.102988
71487.0,1102.143139
71435.0,1102.183262
71432.0,1102.223397
71446.0,1102.263531
71467.0,1102.30367
71493.0,1102.343809
71513.0,1102.383953
71517.0,1102.424092
71500.0,1102.464242
71504.0,1102.504393
71518.0,1102.544521
71538.0,1102.584651
71566.0,1102.624798
71577.0,1102.664941
71593.0,1102.70507
71614.0,1102.745211
71633.0,1102.785351
71655.0,1102.825488
71676.0,1102.865612
71692.0,1102.905776
71714.0,1102.945908
71728.0,1102.986048
71715.0,1103.02619
71601.0,1103.066335
71492.0,1103.106478
71451.0,1103.146613
71459.0,1103.18677
71490.0,1103.226893
71500.0,1103.267023
71521.0,1103.307168
71505.0,1103.347304
71485.0,1103.387798
71448.0,1103.42795
71402.0,1103.468085
71346.0,1103.508231
71293.0,1103.548378
71281.0,1103.58852
71282.0,1103.62866
71354.0,1103.668809
71403.0,1103.708952
71407.0,1103.749084
71339.0,1103.78923
71254.0,1103.829379
71263.0,1103.869521
71335.0,1103.90967
71366.0,1103.949799
71310.0,1103.989932
71142.0,1104.030076
70975.0,1104.070181
70923.0,1104.110335
70929.0,1104.150474
70927.0,1104.190613
70931.0,1104.230778
70876.0,1104.270895
70834.0,1104.311028
70835.0,1104.351363
70841.0,1104.391155
70855.0,1104.431288
70880.0,1104.4718
70908.0,1104.511941
70935.0,1104.552068
70958.0,1104.592213
70967.0,1104.632354
70986.0,1104.672492
70996.0,1104.71263
71022.0,1104.752779
71039.0,1104.792896
71058.0,1104.833025
71020.0,1104.873168
70921.0,1104.913292
70821.0,1104.953432
70754.0,1104.993558
70726.0,1105.03372
70732.0,1105.073871
70749.0,1105.113999
70782.0,1105.154139
70789.0,1105.194261
70790.0,1105.234384
70781.0,1105.274523
70777.0,1105.314661
70785.0,1105.35481
70808.0,1105.39495
70821.0,1105.435087
70851.0,1105.475239
70886.0,1105.515376
70927.0,1105.555521
70957.0,1105.595654
